candidate_id,rank,score,reasoning
CAND_0039754,1,1.0,"Good Match, Senior Applied Scientist, 16.2 yrs experience, 20 skills (extensive), 3 roles, good semantic match, strong experience signal, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08"
CAND_0005538,2,0.945416,"Good Match, Senior AI Engineer, 5.9 yrs experience, 19 skills (extensive), 4 roles, good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub active (58)"
CAND_0071974,3,0.943687,"Good Match, Senior AI Engineer, 7.8 yrs experience, 19 skills (extensive), 3 roles, 2 certifications, good semantic match, solid experience, strong skill alignment, high trust score, complete profile, boosted +0.08"
CAND_0055992,4,0.926608,"Good Match, AI Engineer, 16.9 yrs experience, 16 skills (extensive), 4 roles, good semantic match, strong experience signal, strong skill alignment, high trust score, complete profile, boosted +0.08, GitHub active (65)"
CAND_0002025,5,0.923141,"Good Match, Senior AI Engineer, 5.9 yrs experience, 20 skills (extensive), good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub score 97/100, saved by 22 recruiters"
CAND_0079387,6,0.888016,"Good Match, AI Engineer, 6.9 yrs experience, 20 skills (extensive), 4 roles, good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub active (64)"
CAND_0088025,7,0.874303,"Good Match, Staff Machine Learning Engineer, 8.6 yrs experience, 19 skills (extensive), 3 roles, good semantic match, solid experience, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08"
CAND_0080766,8,0.873805,"Good Match, Staff Machine Learning Engineer, 8.8 yrs experience, 21 skills (extensive), 4 roles, good semantic match, solid experience, strong skill alignment, high trust score, complete profile, boosted +0.08, assessment avg 84/100"
CAND_0093193,9,0.8709,"Good Match, Senior Machine Learning Engineer, 7.9 yrs experience, 19 skills (extensive), good semantic match, solid experience, strong skill alignment, high trust score, complete profile, boosted +0.07, assessment avg 75/100, saved by 43 recruiters"
CAND_0018499,10,0.869388,"Good Match, Senior Machine Learning Engineer, 7.2 yrs experience, 17 skills (extensive), 3 roles, 2 certifications, good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08"
CAND_0095619,11,0.863506,"Good Match, NLP Engineer, 15.6 yrs experience, 17 skills (extensive), good semantic match, strong experience signal, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, 5 skill assessments"
CAND_0081846,12,0.860645,"Good Match, Lead AI Engineer, 6.7 yrs experience, 18 skills (extensive), good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, 3 skill assessments, saved by 62 recruiters"
CAND_0046064,13,0.856182,"Good Match, Senior NLP Engineer, 8.9 yrs experience, 16 skills (extensive), 3 roles, good semantic match, solid experience, strong skill alignment, high trust score, complete profile, boosted +0.07, GitHub active (67)"
